qid,kind,category,subtype,note
WebQTrn-1180_d234333cfe0037241bacdcbbc5a74317,hedge,kg_gap,,"Numeric-literal filter, likely unencoded (parallel to the date-literal finding). Full's hedge on the numeric constraint is arguably more honest than noplanner ignoring it. Decomposition sometimes increases caution and gets penalized for it."
WebQTrn-25_4d68c1f4906c41ef2f0ea4e416e2615b,hedge,composite_claim,,"Full asserted an entity satisfying only one of two conjunctive constraints (produced-by, not starring-check) — textbook conjunction-coverage failure."
WebQTest-1260_018dc0c070e53555fa37f63d4b83ca87,wrong,decomposition_error,,"Correct year in prose; answer_entities extracted the team, not the Super-Bowl-edition entity — extraction bug #1."
WebQTest-837_c4e06c3a9e4b4f10bd1ae97f1742c198,wrong,composite_claim,,"Wrong node TYPE entirely (season, not team) — anchor drifted to a hub shared by both constraints."
WebQTest-1797_dece4ddacc57788e31bf70edc99f1f37,wrong,composite_claim,,"Qualifier (""government position holder"") present in the sub-objective text but didn't filter the multi-candidate combatant frontier."
WebQTrn-1001_33d9f1ae3911d4f69a9993902924107d,wrong,composite_claim,,"Each piece of the compound claim was independently true in the graph, but the conjunction — that these two facts describe the same game — was never jointly checked."
WebQTest-538_485b6c9f1bd7bd7972f3dd4fcc11b1e9,wrong,composite_claim,,"The plan itself was good. It broke in execution: step 1 apparently resolved to only one Swift film, so by step 3 there was nothing to genuinely intersect against."
WebQTrn-2615_48a6ac5681b2e67e07d84708115db614,hedge,decomposition_error,context_stripping,"The first sub-objective is scored without any mention of instruments. Splitting the question discarded disambiguating information that only appears in a later clause, causing an early sub-objective to resolve toward the wrong sense of an ambiguous relation."
WebQTest-1797_5a1c66f408118c6342c4a0eb350b58de,hedge,gold_noise,,"Gold (""Ulysses S. Grant"") answers ""who fought at/commanded during the battle of Vicksburg"" (1863), not ""who was president"" then — Grant didn't become president until 1869; the actual president during the battle was Lincoln. Full's hedge and its verifier's ""unsupported"" rejection of ""Grant was president during Vicksburg"" are the epistemically correct call; noplanner's ""hit"" only matches because it happens to restate the (wrong-for-this-question) gold value. Not a genuine decomposition mechanism — flagging as gold/question-template noise instead."
WebQTrn-2570_ac52c51debd358141a23acc7ae7ec938,wrong,composite_claim,,3-step chain; likely wrong resolution at step 1 (Eisenhower vs Truman/FDR) propagated uncorrected through steps 2–3 — the compounding-error risk of sequential decomposition.
WebQTrn-2570_d63877a40200d18c7c4e39215a3c7019,wrong,decomposition_error,context_stripping,"Decomposition actively suppressed the WW2 anchor, then objective 1 never completed (objective_done: false at every step), so objective 2 never activated and the WW2 constraint was never explored at all."
WebQTrn-1597_8adc06ba12a3254370bdb3ff8e8820af,hedge,verifier_fn,,noplanner's answer was not grounded in any real edge despite verifier_outcome: grounded in the log.
WebQTest-1348_3f44e0c4fd23a8334a972ebb812e0e35,wrong,decomposition_error,,Extraction bug #2 — same subject/object mismatch as WebQTest-1260.
WebQTest-634_4f2c0d9eb022ed67ec2cc356d4d5113a,wrong,kg_gap,,"Containment ambiguity in the source data (annexed territory, or Freebase simply having imprecise/multiple containment edges)."
WebQTest-965_e91a95bd503f0704b9cc40c6f2139524,wrong,decomposition_error,,Extraction bug #3 — same pattern again (three of these in fifteen CWQ cases).
